title,date,tags
Awful Knawful,1980,
The Stunt,1981,Mevagissey Feast Week
Skungpoomery,1981,
Around the World in 80 Days,1982,
Rubbish,1983,For schools
The Jungle Book,1984,
Tregeagle,1984,For schools
The Three Musketeers,1985,
Fool's Paradise,1986,
Cyborg,1987,
Sun and Shadow,1988,
Ting Tang Mine,1990,
The Tinderbox,1990,
The Last Voyage of Long John Silver,1990,
Peer Gynt,1991,
Ship of Fools,1992,
Scrooge,1992,
Danger My Ally,1993,
Windfall,1993,
The Ashmaid,1994,
The Bogus,1994,
Ravenheart,1994,
The Women Who Threw the Day Away,1995,
Wild Walks,1995,
Telling Tales,1995,
The Lost Stories of Don Quixote,1995,
The Arabian Nights,1997,
The King of Prussia,1997,
Nightcrows,1998,
Ghost Nets,1999,
The Riot,1999,
Mannel's Mango,1999,
The Itch,1999,
The Red Shoes,2000,
Hell's Mouth,2000,
Cry Wolf,2000,
Roger Salmon: Cornish Detective (The Case of the Uncertain Woman),2001,
Fish Boy,2001,
Pandora's Box,2002,
Wild Jam,2002,
The Wild Bride,2002,
The Wooden Frock,2003,
Tristan & Yseult,2003,
A Very Old Man With Enormous Wings,2003,
The Bacchae,2004,
Wagstaffe the Wind-up Boy,2004,
Nights at the Circus,2005,
Cymbeline,2006,
Rapunzel,2006,
Brief Encounter,2007,
A Matter of Life & Death,2007,
Don John,2008,
Hansel & Gretel,2009,
The Umbrellas of Cherbourg,2011,
Midnight's Pumpkin,2011,
Steptoe and Son,2012,
Wah! Wah! Girls,2012,
Dead Dog in a Suitcase,2014,
Rebecca,2015,
The Flying Lovers of Vitebsk,2016,
Run For Your Life,2016,
946: The Amazing Story of Adolphus Tips,2016,
The Tin Drum,2017,
FUP: A Modern Fable,2018,
The Dancing Frog,2019,
Ubu,2019,
Random Acts of Art,2020,
The Neon Shadow,2020,Film
Miscellaneous,,
Rambles,,
